iter,current_best,gbest_value
0,1109.0852272274,1109.0852272274
1,1174.2181767439,1109.0852272274
2,1265.1960519001,1109.0852272274
3,853.8041358669,853.8041358669
4,945.6478283491,853.8041358669
5,920.4905254479,853.8041358669
6,945.5501559483,853.8041358669
7,848.4279635674,848.4279635674
8,764.7709902106,764.7709902106
9,1028.6141538950,764.7709902106
10,851.0721911137,764.7709902106
11,804.8223575678,764.7709902106
12,792.5028856150,764.7709902106
13,868.3835616130,764.7709902106
14,832.0661751481,764.7709902106
15,888.0626560352,764.7709902106
16,745.6170592198,745.6170592198
17,760.1117568922,745.6170592198
18,849.1114398888,745.6170592198
19,563.9379293433,563.9379293433
20,716.3400096920,563.9379293433
21,712.0311321596,563.9379293433
22,602.6272915956,563.9379293433
23,652.8311370189,563.9379293433
24,578.0722671025,563.9379293433
25,618.5674088343,563.9379293433
26,613.4248436901,563.9379293433
27,562.7492046765,562.7492046765
28,627.2718798308,562.7492046765
29,590.1754230101,562.7492046765
30,630.8959514260,562.7492046765
31,587.7963658428,562.7492046765
32,560.7660362954,560.7660362954
33,602.1540830427,560.7660362954
34,644.0855230987,560.7660362954
35,539.1583678469,539.1583678469
36,621.7465116703,539.1583678469
37,488.9410995753,488.9410995753
38,532.7976969340,488.9410995753
39,490.5585144107,488.9410995753
40,579.4248130853,488.9410995753
41,564.2167082802,488.9410995753
42,476.6052490109,476.6052490109
43,449.4944026151,449.4944026151
44,532.2087246923,449.4944026151
45,508.9687912606,449.4944026151
46,453.4519589953,449.4944026151
47,558.8405694229,449.4944026151
48,503.4803704651,449.4944026151
49,534.8759942546,449.4944026151
50,420.7047949072,420.7047949072
51,532.9394150903,420.7047949072
52,542.1744216434,420.7047949072
53,495.0564719031,420.7047949072
54,443.9468182309,420.7047949072
55,511.3495183849,420.7047949072
56,482.6764137411,420.7047949072
57,444.7447157204,420.7047949072
58,468.4952092758,420.7047949072
59,506.1624811851,420.7047949072
60,512.9405684286,420.7047949072
61,434.1935808331,420.7047949072
62,412.7614335590,412.7614335590
63,501.5228879520,412.7614335590
64,412.4003333109,412.4003333109
65,404.7304287842,404.7304287842
66,441.4141943957,404.7304287842
67,422.7747647664,404.7304287842
68,379.2453180141,379.2453180141
69,389.7948390475,379.2453180141
70,374.1886361513,374.1886361513
71,411.8545285998,374.1886361513
72,479.6233363737,374.1886361513
73,413.7239275073,374.1886361513
74,436.7698905285,374.1886361513
75,327.5898719883,327.5898719883
76,402.2423276438,327.5898719883
77,379.6678011701,327.5898719883
78,385.8726630132,327.5898719883
79,342.7731410046,327.5898719883
80,387.9487674505,327.5898719883
81,361.4737332734,327.5898719883
82,354.0857180817,327.5898719883
83,341.9502733111,327.5898719883
84,334.0821784999,327.5898719883
85,388.9501728853,327.5898719883
86,353.5838070066,327.5898719883
87,349.1688527939,327.5898719883
88,343.8190254103,327.5898719883
89,260.6054808957,260.6054808957
90,282.3294602417,260.6054808957
91,345.7185574537,260.6054808957
92,373.8270986175,260.6054808957
93,306.7067435230,260.6054808957
94,298.1501848010,260.6054808957
95,313.0110542237,260.6054808957
96,324.5877559998,260.6054808957
97,303.0927146926,260.6054808957
98,336.1032147529,260.6054808957
99,322.2931895654,260.6054808957
100,342.4981108390,260.6054808957
101,276.4338428098,260.6054808957
102,337.8913971828,260.6054808957
103,259.5781962487,259.5781962487
104,284.9617990784,259.5781962487
105,279.7561806026,259.5781962487
106,290.3866020287,259.5781962487
107,263.6752536395,259.5781962487
108,272.8780883657,259.5781962487
109,274.2251925235,259.5781962487
110,264.4118474940,259.5781962487
111,281.6519851706,259.5781962487
112,310.3255271703,259.5781962487
113,277.6644342500,259.5781962487
114,283.0725303211,259.5781962487
115,266.4227296656,259.5781962487
116,297.1598886688,259.5781962487
117,278.5170688863,259.5781962487
118,263.3386646003,259.5781962487
119,253.5676123213,253.5676123213
