Configuração,Média,Desvio Padrão
Ackley | 5D | STANDARD,2.5998787752,1.3050485876
Ackley | 5D | INERTIA,0.0000000000,0.0000000000
Ackley | 5D | CONSTRICTION,0.0000000000,0.0000000000
Ackley | 10D | STANDARD,11.1020036315,1.9491692087
Ackley | 10D | INERTIA,0.0000000000,0.0000000000
Ackley | 10D | CONSTRICTION,0.0000000000,0.0000000000
Griewank | 5D | STANDARD,0.7635388524,0.3349246683
Griewank | 5D | INERTIA,0.0165055873,0.0111139561
Griewank | 5D | CONSTRICTION,0.0202792701,0.0131432079
Griewank | 10D | STANDARD,8.6971174598,2.4488693255
Griewank | 10D | INERTIA,0.0614942365,0.0287000061
Griewank | 10D | CONSTRICTION,0.0743832333,0.0372295477
