modo,n,threads,ms,pi,checksum,primos_por_seg
seq,100000,1,0,9592,454396537,0
seq,1000000,1,5,78498,37550402023,15699600
seq,10000000,1,55,664579,3203324994356,12083254
seq,30000000,1,158,1857859,26942805919966,11758601
seq,100000000,1,754,5761455,279209790387276,7641187
seq,300000000,1,3008,16252325,2367646772295462,5403033
seq,1000000000,1,10841,50847534,24739512092254535,4690299
seq,3000000000,1,35459,144449537,211169315361937456,4073705
seq,5000000000,1,60055,234954223,572840944428163514,3912317
seq,10000000000,1,124276,455052511,2220822432581729238,3661628
par,100000,2,1,9592,454396537,9592000
par,1000000,2,9,78498,37550402023,8722000
par,10000000,2,55,664579,3203324994356,12083254
par,30000000,2,177,1857859,26942805919966,10496378
par,100000000,2,576,5761455,279209790387276,10002526
par,300000000,2,1866,16252325,2367646772295462,8709713
par,1000000000,2,6386,50847534,24739512092254535,7962344
par,3000000000,2,19448,144449537,211169315361937456,7427475
par,5000000000,2,32232,234954223,572840944428163514,7289470
par,10000000000,2,65852,455052511,2220822432581729238,6910230
par,100000,4,1,9592,454396537,9592000
par,1000000,4,10,78498,37550402023,7849800
par,10000000,4,45,664579,3203324994356,14768422
par,30000000,4,117,1857859,26942805919966,15879136
par,100000000,4,415,5761455,279209790387276,13883024
par,300000000,4,1356,16252325,2367646772295462,11985490
par,1000000000,4,4430,50847534,24739512092254535,11477998
par,3000000000,4,14044,144449537,211169315361937456,10285498
par,5000000000,4,34827,234954223,572840944428163514,6746323
par,10000000000,4,48020,455052511,2220822432581729238,9476312
par,100000,8,1,9592,454396537,9592000
par,1000000,8,9,78498,37550402023,8722000
par,10000000,8,41,664579,3203324994356,16209243
par,30000000,8,108,1857859,26942805919966,17202398
par,100000000,8,380,5761455,279209790387276,15161723
par,300000000,8,1216,16252325,2367646772295462,13365398
par,1000000000,8,4402,50847534,24739512092254535,11551007
par,3000000000,8,13376,144449537,211169315361937456,10799157
par,5000000000,8,22999,234954223,572840944428163514,10215845
par,10000000000,8,45967,455052511,2220822432581729238,9899547
par,100000,16,1,9592,454396537,9592000
par,1000000,16,11,78498,37550402023,7136181
par,10000000,16,32,664579,3203324994356,20768093
par,30000000,16,109,1857859,26942805919966,17044577
par,100000000,16,392,5761455,279209790387276,14697589
par,300000000,16,1262,16252325,2367646772295462,12878229
par,1000000000,16,4405,50847534,24739512092254535,11543140
par,3000000000,16,13309,144449537,211169315361937456,10853522
par,5000000000,16,23188,234954223,572840944428163514,10132578
par,10000000000,16,46566,455052511,2220822432581729238,9772205
par,1000000,4,9,78498,37550402023,8722000
par,10000000000,8,45242,455052511,2220822432581729238,10058187
