modo,n,threads,ms,pi,checksum,primos_por_seg
seq,100000,1,0,9592,454396537,0
seq,1000000,1,2,78498,37550402023,39249000
seq,10000000,1,81,664579,3203324994356,8204679
seq,30000000,1,305,1857859,26942805919966,6091340
seq,100000000,1,1135,5761455,279209790387276,5076171
seq,300000000,1,3693,16252325,2367646772295462,4400846
seq,1000000000,1,12944,50847534,24739512092254535,3928270
seq,3000000000,1,40609,144449537,211169315361937456,3557081
seq,5000000000,1,77657,234954223,572840944428163514,3025538
seq,10000000000,1,150002,455052511,2220822432581729238,3033642
par,100000,2,0,9592,454396537,0
par,1000000,2,1,78498,37550402023,78498000
par,10000000,2,71,664579,3203324994356,9360267
par,30000000,2,296,1857859,26942805919966,6276550
par,100000000,2,1089,5761455,279209790387276,5290592
par,300000000,2,3427,16252325,2367646772295462,4742435
par,1000000000,2,13595,50847534,24739512092254535,3740164
par,3000000000,2,39027,144449537,211169315361937456,3701271
par,5000000000,2,66230,234954223,572840944428163514,3547549
par,10000000000,2,138218,455052511,2220822432581729238,3292281
par,100000,4,0,9592,454396537,0
par,1000000,4,1,78498,37550402023,78498000
par,10000000,4,54,664579,3203324994356,12307018
par,30000000,4,273,1857859,26942805919966,6805344
par,100000000,4,1050,5761455,279209790387276,5487100
par,300000000,4,3421,16252325,2367646772295462,4750752
par,1000000000,4,11968,50847534,24739512092254535,4248624
par,3000000000,4,38783,144449537,211169315361937456,3724558
par,5000000000,4,65507,234954223,572840944428163514,3586704
par,10000000000,4,136363,455052511,2220822432581729238,3337067
par,100000,8,1,9592,454396537,9592000
par,1000000,8,1,78498,37550402023,78498000
par,10000000,8,35,664579,3203324994356,18987971
par,30000000,8,281,1857859,26942805919966,6611597
par,100000000,8,1055,5761455,279209790387276,5461094
par,300000000,8,3485,16252325,2367646772295462,4663507
par,1000000000,8,11981,50847534,24739512092254535,4244014
par,3000000000,8,38273,144449537,211169315361937456,3774189
par,5000000000,8,65362,234954223,572840944428163514,3594660
par,10000000000,8,136018,455052511,2220822432581729238,3345531

par,10000000000,8,134064,455052511,2220822432581729238,3394293
par,10000000000,8,117218,455052511,2220822432581729238,3882104
