modo,n,threads,ms,pi,checksum,primos_por_seg
seq,10000000,1,34,664579,3203324994356,19546441
seq,30000000,1,105,1857859,26942805919966,17693895
seq,100000000,1,605,5761455,279209790387276,9523066
seq,300000000,1,2448,16252325,2367646772295462,6639021
seq,1000000000,1,9029,50847534,24739512092254535,5631579
seq,3000000000,1,29482,144449537,211169315361937456,4899584
par,10000000,2,55,664579,3203324994356,12083254
par,30000000,2,151,1857859,26942805919966,12303701
par,100000000,2,762,5761455,279209790387276,7560964
par,300000000,2,3003,16252325,2367646772295462,5412029
par,1000000000,2,10901,50847534,24739512092254535,4664483
par,3000000000,2,33985,144449537,211169315361937456,4250390
par,10000000,4,45,664579,3203324994356,14768422
par,30000000,4,126,1857859,26942805919966,14744912
par,100000000,4,673,5761455,279209790387276,8560854
par,300000000,4,2637,16252325,2367646772295462,6163187
par,1000000000,4,10039,50847534,24739512092254535,5064999
par,3000000000,4,32925,144449537,211169315361937456,4387229
par,10000000,8,47,664579,3203324994356,14139978
par,30000000,8,119,1857859,26942805919966,15612260
par,100000000,8,675,5761455,279209790387276,8535488
par,300000000,8,2745,16252325,2367646772295462,5920701
par,1000000000,8,9782,50847534,24739512092254535,5198071
par,3000000000,8,31847,144449537,211169315361937456,4535734
