modo,n,threads,ms,pi,checksum,primos_por_seg
seq,1000000,1,3,78498,37550402023,26166000
seq,10000000,1,35,664579,3203324994356,18987971
seq,30000000,1,107,1857859,26942805919966,17363168
seq,100000000,1,581,5761455,279209790387276,9916445
seq,300000000,1,2546,16252325,2367646772295462,6383474
seq,1000000000,1,8892,50847534,24739512092254535,5718346
seq,3000000000,1,29983,144449537,211169315361937456,4817714
seq,5000000000,1,50893,234954223,572840944428163514,4616631
seq,10000000000,1,108203,455052511,2220822432581729238,4205544
par,1000000,2,5,78498,37550402023,15699600
par,10000000,2,61,664579,3203324994356,10894737
par,30000000,2,144,1857859,26942805919966,12901798
par,100000000,2,734,5761455,279209790387276,7849393
par,300000000,2,2923,16252325,2367646772295462,5560152
par,1000000000,2,10732,50847534,24739512092254535,4737936
par,3000000000,2,34819,144449537,211169315361937456,4148583
par,5000000000,2,59100,234954223,572840944428163514,3975536
par,10000000000,2,122062,455052511,2220822432581729238,3728044
par,1000000,4,5,78498,37550402023,15699600
par,10000000,4,43,664579,3203324994356,15455325
par,30000000,4,135,1857859,26942805919966,13761918
par,100000000,4,590,5761455,279209790387276,9765177
par,300000000,4,2708,16252325,2367646772295462,6001597
par,1000000000,4,9967,50847534,24739512092254535,5101588
par,3000000000,4,32260,144449537,211169315361937456,4477666
par,5000000000,4,55696,234954223,572840944428163514,4218511
par,10000000000,4,114150,455052511,2220822432581729238,3986443
par,1000000,8,4,78498,37550402023,19624500
par,10000000,8,41,664579,3203324994356,16209243
par,30000000,8,118,1857859,26942805919966,15744567
par,100000000,8,647,5761455,279209790387276,8904876
par,300000000,8,2766,16252325,2367646772295462,5875750
par,1000000000,8,9781,50847534,24739512092254535,5198602
par,3000000000,8,31667,144449537,211169315361937456,4561516
par,5000000000,8,58567,234954223,572840944428163514,4011716
par,10000000000,8,112876,455052511,2220822432581729238,4031437
par,1000000,16,4,78498,37550402023,19624500
par,10000000,16,38,664579,3203324994356,17488921
par,30000000,16,115,1857859,26942805919966,16155295
par,100000000,16,381,5761455,279209790387276,15121929
par,300000000,16,2325,16252325,2367646772295462,6990247
par,1000000000,16,9261,50847534,24739512092254535,5490501
par,3000000000,16,30253,144449537,211169315361937456,4774717
par,5000000000,16,54702,234954223,572840944428163514,4295166
par,10000000000,16,111808,455052511,2220822432581729238,4069945
