cognome,nome_original,url_original
img_1,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDAlNUQlN0I0NTklN0RmaWd1cmFfOWJfZXN0cmlhc19uZWNyb3RpY2FzLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18400%5D%7B459%7Dfigura_9b_estrias_necroticas.jpg
img_2,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDclNUQlN0IzMTYlN0Rwb2RyaWRhb19jb3JvYV8xLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18407%5D%7B316%7Dpodridao_coroa_1.png
img_3,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDElNUQlN0I0ODElN0RuZW1hdG9pZGVfY2F2ZXJuaWNvbGEucG5n.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18401%5D%7B481%7Dnematoide_cavernicola.png
img_4,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDIlNUQlN0IxOTElN0RuZW1hdG9pZGVfZXNwaXJhbGFkb18xLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18402%5D%7B191%7Dnematoide_espiralado_1.jpg
img_5,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDMlNUQlN0I4MiU3RHppbHRvbl8yLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18403%5D%7B82%7Dzilton_2.png
img_6,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDQlNUQlN0IzMiU3RG5lbWF0b2lkZV9kYXNfZ2FsaGFzX2Rhc19yYWl6ZXMucG5n.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18404%5D%7B32%7Dnematoide_das_galhas_das_raizes.png
img_7,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDUlNUQlN0I1NSU3RHRvbWJhbWVudG8ucG5n.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18405%5D%7B55%7Dtombamento.png
img_8,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MDYlNUQlN0IxNDUlN0RhbnRyYWNub3NlXzEuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18406%5D%7B145%7Dantracnose_1.jpg
img_9,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MTAlNUQlN0I0MTklN0Rtb2tvX3BsYW50YV9hdGFjYWRhLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18410%5D%7B419%7Dmoko_planta_atacada.jpg
img_10,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTg0MTclNUQlN0IxMjYlN0RiYW5hbmFsX3ZhbGZyaWRvLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18417%5D%7B126%7Dbananal_valfrido.jpg
