Identificação Kauan,Doenças,Análise,Descrição
img_160,1,Descrição incorreta. Doença inexistente. Atribuiu agente causal de outra doença. ,"Folha de bananeira exibindo sintomas característicos da infecção pelo Banana Streak Virus (BSV), manifestados como estrias cloróticas (amareladas) ou necróticas (marrons a pretas) descontínuas e de largura variável, que se desenvolvem paralelamente às nervuras da folha, podendo coalescer e levar a uma aparência de mosaico ou necrose mais extensa, indicando a presença do vírus que afeta o desenvolvimento e a produtividade da planta."
img_200,2,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado.,"Buquê (ou ""mão"") de bananas em maturação, caracterizado pela coloração amarela dos frutos, que está acometido por um quadro severo de podridão da coroa, exacerbado por uma prática de ""mal cortado"". A interpretação rigorosa revela que a coroa, ponto de união dos frutos, apresenta um tecido necrótico avançado, com coloração marrom-escura a preta, e uma evidente desintegração estrutural, expondo fibras vasculares longitudinais de forma desfiada – um claro indicativo de um corte irregular que criou portas de entrada para infecções. Sobre essa área decomposta, é visível a presença de um crescimento micelial fúngico, de aspecto algodonoso e coloração esbranquiçada, confirmando a colonização ativa por patógenos. A infecção não se limita à coroa, mas progride para os pedúnculos, comprometendo a fixação dos frutos e acelerando a senescência, o que resulta em perda total de qualidade e valor comercial, além de uma drástica redução da vida de prateleira do produto."
img_201,3,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado.,"Três segmentos de raízes ou rizomas de bananeira que foram seccionados longitudinalmente para expor os danos internos característicos da infestação pelo nematoide cavernícola (Radopholus similis). O que se observa é uma severa necrose do tecido cortical, evidenciada pelo forte contraste entre as poucas áreas de parênquima saudável, de coloração pálida ou amarelada, e as extensas lesões necróticas, que se apresentam como faixas e galerias de cor marrom-avermelhada a preta. Essas lesões não são superficiais, mas formam cavidades e túneis internos — as ""cavernas"" que são patognomônicas desta doença —, resultantes da atividade de migração e alimentação do nematoide, que destrói a estrutura interna da raiz, comprometendo drasticamente a absorção de água e nutrientes, a sustentação da planta e abrindo portas para infecções secundárias."
img_202,4,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças.,"Raiz de bananeira parasitada pelo nematoide espiralado (Gênero Helicotylenchus), caracterizada pela presença de múltiplas lesões necróticas superficiais, de coloração marrom-escura a enegrecida, pequenas e frequentemente elípticas ou irregulares, que podem coalescer formando áreas maiores de necrose no córtex radicular, resultado da atividade alimentar do patógeno que, como ectoparasita, danifica as células epidérmicas e corticais, comprometendo a capacidade de absorção de água e nutrientes, reduzindo o volume e a eficiência do sistema radicular, o que leva ao enfraquecimento geral da planta, clorose foliar, subdesenvolvimento, redução no tamanho dos cachos e, consequentemente, perdas significativas de produtividade na cultura da banana."
img_203,5,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças.,"Duas seções de raízes de bananeira, exibindo sintomas clássicos de infestação severa por nematoides das galhas radiculares, especificamente do gênero Meloidogyne, dispostas sobre uma superfície verde e lisa, provavelmente uma folha da própria bananeira, que serve de contraste para destacar as lesões; nota-se um sistema radicular principal mais extenso na parte superior da imagem e um fragmento menor na parte inferior, sendo que ambas as porções radiculares exibem múltiplas galhas, que são intumescências ou engrossamentos anormais dos tecidos radiculares, resultado da reação da planta à alimentação e desenvolvimento dos nematoides; as galhas apresentam formato irregular, variando de bulbosas e arredondadas a ligeiramente alongadas, e são de tamanhos diversos, indicando diferentes estágios de desenvolvimento da infecção ou infecções múltiplas, com coloração predominantemente castanho-amarelada pálida e textura superficial áspera, rugosa e nodosa; as raízes secundárias (radicelas) que emanam das raízes principais são visivelmente finas, frágeis e possuem distribuição irregular, muitas estando cobertas por partículas de solo e detritos orgânicos; observa-se que, em diversas seções, as extremidades das radicelas parecem necrosadas ou com terminação abrupta, um sintoma de dano avançado e possível apodrecimento; a superfície das raízes e das galhas mostra áreas com aspecto brilhante, indicando umidade ou possíveis exsudatos da planta ou dos próprios nematoides, enquanto outras áreas estão mais opacas e secas; em alguns pontos, podem ser visualizados nódulos translúcidos, gelatinosos ou brilhantes aderidos à superfície das galhas, podendo corresponder a massas de ovos dos nematoides, protegidas por uma matriz gelatinosa; há uma descoloração geral do sistema radicular, com predominância de tons castanho-claros e cremes, sintomático de um sistema radicular não saudável, com tecidos em processo de deterioração devido à atividade parasitária; coloração pálida e doentia das raízes, enfatizando a severidade dos danos; a iluminação da cena é difusa e homogênea, permitindo a visualização clara dos detalhes morfológicos das galhas e raízes, sem a formação de sombras intensas, e pequenos reflexos de luz são perceptíveis nas áreas mais úmidas ou nas estruturas gelatinosas sobre as raízes; a imagem possui um claro propósito diagnóstico e educacional, típico de documentação fitopatológica em contextos agrícolas ou de pesquisa científica, visando ilustrar o impacto dos nematoides das galhas na cultura da bananeira."
img_204,6,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças.,"Duas amostras de sistema radicular de bananeira exibindo sintomas clássicos e severos de infestação pelo nematoide das galhas radiculares (Meloidogyne spp.). O que se observa são múltiplas intumescências de formato esférico a irregular, denominadas galhas, que se formam ao longo das raízes e do rizoma como uma resposta do hospedeiro à infecção; essas galhas são o resultado macroscópico da hipertrofia (aumento do tamanho) e da hiperplasia (multiplicação) das células do parênquima cortical, induzidas pela atividade do parasitismo dos nematoides. As galhas variam em tamanho, desde pequenos nódulos discretos até grandes massas tumorais que deformam completamente a arquitetura radicular, apresentando uma coloração que pode variar de amarelada a marrom-escura, indicando áreas de necrose. Associado a estas formações, nota-se um sistema de raízes secundárias comprometido, muitas vezes emaranhado, escurecido e sem funcionalidade, o que evidencia o severo dano causado à capacidade da planta de absorver água e nutrientes, impactando diretamente seu desenvolvimento, sustentação e produtividade."
img_205,7,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças.,"Cenário de colapso em uma cultura de banana, centrado em uma planta no primeiro plano tombada, que expõe um sistema radicular severamente comprometido e necrosado, sintomatologia clássica de um ataque intenso por nematoides fitoparasitas (como Radopholus similis, Pratylenchus coffeae e/ou Meloidogyne spp.). A análise do rizoma e das raízes revela uma massa radicular escura, com perda total de integridade estrutural e funcionalidade, resultado da destruição do córtex radicular pelos patógenos, o que impede a absorção de água e nutrientes e anula a capacidade de ancoragem da planta, culminando no seu tombamento, um sintoma característico e severo da doença. O ambiente ao redor reforça a gravidade da infestação, mostrando um bananal devastado com múltiplas outras plantas caídas ou em avançado estado de definhamento, ilustrando o impacto agronômico devastador que leva à perda total das plantas afetadas."
img_206,8,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças.,"Os sintomas de antracnose (causada pelo fungo Colletotrichum musae) em bananas, especialmente visíveis durante a fase de maturação pós-colheita, caracterizam-se pelo aparecimento na casca de lesões inicialmente pequenas, circulares, ligeiramente deprimidas, de coloração marrom-escura a preta, que rapidamente se expandem e coalescem, podendo cobrir grandes áreas do fruto; sob condições de alta umidade, é comum o desenvolvimento de massas de esporos (conídios) de coloração salmão ou rosada (acérvulos) no centro dessas lesões, muitas vezes dispostas em anéis concêntricos, com a progressão da doença, a polpa subjacente às lesões torna-se aquosa, amolecida e apodrecida, de coloração escura, podendo ocorrer também rachaduras na casca e, em infecções que atingem a coroa ou o pedúnculo, pode haver o apodrecimento dessas estruturas levando à queda prematura dos dedos (frutos individuais)."
img_207,9,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças.,"Bananeira com evidentes e significativos danos foliares, característicos da contaminação por Moko (Ralstonia solanacearum). Observa-se o caule principal centralizado, de coloração verde-clara e textura aparentemente lisa e rígida. As folhas, alongadas e com venação paralela típica da bananeira, apresentam extensas áreas de necrose e ressecamento nas margens e ápices, indicando um processo avançado de murcha e colapso vascular, sintoma clássico do Moko, que progride das folhas mais jovens para as mais velhas, ou vice-versa, dependendo da forma de infecção; estas áreas danificadas possuem textura enrugada, quebradiça, com manchas escuras variando entre marrom e cinza, e algumas folhas estão severamente enroladas ou encarquilhadas, denotando deterioração foliar avançada. Apesar dos danos, algumas porções da planta, especialmente folhas mais novas e superiores, ainda se mostram verdes e com brilho, embora outras já demonstrem início de murcha e arqueamento descendente, um padrão também consistente com a progressão do Moko. A disposição alternada das folhas ao redor do pseudocaule cria um aspecto em camadas. O fundo azul vibrante e uniforme destaca a planta, e a iluminação difusa e direta permite a visualização detalhada das texturas e cores, importante para a análise fitopatológica que sugere um exame minucioso típico de pesquisa agrícola ou botânica focada na identificação e documentação dos sintomas severos do Moko, que incluem murcha, amarelecimento e necrose das folhas, além de possível exsudação bacteriana no pseudocaule e descoloração vascular interna, não visíveis externamente na imagem, mas inferidos pela severidade dos sintomas foliares."
img_211,10,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Sempre coloca o Fusarium como o agente causal.,"Perfil de solo em um bananal que evidencia um severo impedimento mecânico subsuperficial, popularmente conhecido como ""pé-de-arado"" ou camada compactada. A descrição técnica detalha um horizonte superficial (A) mais escuro, com textura solta e granular, visivelmente enriquecido com matéria orgânica proveniente de folhas e detritos vegetais da própria cultura. Em nítido contraste, logo abaixo, há um horizonte subsuperficial (B) de coloração mais clara, extremamente denso, coeso e com estrutura em blocos. A principal e mais contundente evidência do impedimento é a conformação do sistema radicular da bananeira: as raízes, de coloração esbranquiçada, desenvolvem-se quase que exclusivamente de forma horizontal e tortuosa ao longo da interface entre a camada superficial e a camada compactada, demonstrando a incapacidade de penetrar verticalmente no horizonte adensado para explorar maiores profundidades. Esta limitação radicular é crítica, pois restringe o acesso da planta à água e aos nutrientes armazenados nas camadas mais profundas do solo, resultando em menor tolerância a períodos de estiagem, nutrição deficiente e, consequentemente, queda na produtividade e no vigor da planta. A caneta inserida no perfil serve como uma escala visual e um demonstrador prático da diferença de resistência, penetrando facilmente a camada superficial friável, mas encontrando resistência na camada compactada subjacente."
