url_original,descricao_galeria
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17916%5D%7B225%7Damostras.jpg,Exemplo de amostra a ser enviada a laboratório. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17916%5D%7B256%7Dcoleta_1.jpg,Coleta de amostra para análise molecular. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17916%5D%7B92%7Dcoleta_2.jpg,Coleta de amostra para análise molecular. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17916%5D%7B516%7Dcoleta_3.jpg,Coleta de amostra para análise molecular. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17916%5D%7B512%7Dcoleta_4.jpg,Coleta de amostra para análise molecular. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17916%5D%7B88%7Dcoleta_5.jpg,Coleta de amostra para análise molecular. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9133%5D%7B276%7Dgrafico_1.png,Mapa do potencial climático para tilápia-do-nilo. Fonte: Vianna (2022).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9133%5D%7B478%7Dgrafico_2.png,Mapa do potencial climático para o jundiá. Fonte: Vianna (2022).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9133%5D%7B227%7Dgrafico_3.png,Mapa do potencial climático para truta arco-íris. Fonte: Vianna (2022).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9158%5D%7B315%7Dembrapa.png,Variação do pH em função da hora do dia. Fonte: Embrapa (2000)(1).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9155%5D%7B481%7Dkubitza.png,Variação diária do pH da água em viveiros com alta e baixa alcalinidade total. Fonte: Kubitza (1998) (1).
