id,novo_nome,url_original
1,1.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B10%5D%7B436%7Dserato.jpg
2,2.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B101%5D%7B201%7Djumbo.jpg
3,3.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11%5D%7B231%7Ddominador.jpg
4,4.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11017%5D%7B144%7Dtomate.jpg
5,5.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B111%5D%7B10%7Darendell.jpg
6,6.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11142%5D%7B535%7Dp_20161125_160523_-_copia.jpg
7,7.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11158%5D%7B524%7Damendoim_de_jardim%2C_chapeco%2C_leandro_wildner%2C_2015_-_copia.jpg
8,8.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11160%5D%7B18%7Dimg-20210321-wa0092.jpg
9,9.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11162%5D%7B267%7Daveia_preta_foto_juliane.jpg
10,10.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11163%5D%7B211%7Dcanola_rio_do_sul_set2018_foto_juliane.jpg
11,11.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11168%5D%7B254%7Dazevem_apresentacao_lauro.jpg
12,12.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11170%5D%7B392%7Dchicharo_2020_foto_juliane1.jpg
13,13.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11171%5D%7B493%7Dtremoco_e_ervilha_forrageira_epagri-cepaf%2C_2007..jpg
14,14.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11172%5D%7B289%7Dfloracao_c._breviflora%2C_epagri-cepaf%2C_2020.jpg
15,15.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11173%5D%7B73%7Dc._ochroleuca%2C_epagri-cepaf%2C_2019.jpg
16,16.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11176%5D%7B138%7Dbrachiaria_ruziziensis._showrural_cascavel%2C_2005..jpg
17,17.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11177%5D%7B412%7Dervilhaca_comum_agronomica_set2020_foto_juliane.jpg
18,18.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11178%5D%7B27%7Dinflorescencia_vica_peluda._epagri-cepaf%2C_2007..jpg
