link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11394%5D%7B358%7Dmapasc_relevo.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Clima
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11394%5D%7B437%7Dtabtempera_2021.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Clima
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11394%5D%7B411%7Dtabcondregiao_2021.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Clima
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11394%5D%7B26%7D01_tabepocaplantio_2021.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Clima
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11395%5D%7B329%7Dmapasc_solos.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Solos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11395%5D%7B434%7Dtipossolo_2021.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Solos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11395%5D%7B347%7Dtabclassessolo_2021.jpg,ARROZ IRRIGADO - 01. Caracterização do ambiente de cultivo - Solos
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11439%5D%7B455%7Dindmorf_02.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11440%5D%7B231%7D02_comprend_caput.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11441%5D%7B457%7D02_arrozamb_caput.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11439%5D%7B455%7Dindmorf_02.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Indicadores morfológicos do desenvolvimento da planta de arroz
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11440%5D%7B231%7D02_comprend_caput.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Componentes de rendimento
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11440%5D%7B260%7D02_tabcomprendmto_2021.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Componentes de rendimento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11441%5D%7B457%7D02_arrozamb_caput.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Respostas da planta de arroz ao ambiente de cultivo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11441%5D%7B516%7D02_tabcondadversas1_2021.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Respostas da planta de arroz ao ambiente de cultivo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11441%5D%7B522%7D02_tabcondadversas2_2021.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Respostas da planta de arroz ao ambiente de cultivo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11441%5D%7B160%7D02_tabcondadversas3_2021.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Respostas da planta de arroz ao ambiente de cultivo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18018%5D%7B294%7D02_tabgrausdia_2023.jpg,ARROZ IRRIGADO - 02. Caracterização da planta de arroz - Monitoramento do desenvolvimento da lavoura (Graus-Dia)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11396%5D%7B340%7Dlegisla_caput.jpg,ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Legislação
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11397%5D%7B114%7Doutorga_caput.jpg,ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Outorga de água
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11398%5D%7B6%7Dlicencambiental_caput.jpg,ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Licenciamento ambiental
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11399%5D%7B166%7Dcar_caput.jpg,ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Cadastro Ambiental Rural
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11400%5D%7B198%7D03_guardaagrotox_caput.jpg,"ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Uso, transporte e armazenamento de agrotóxicos"
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11401%5D%7B314%7Dsementes_caput.jpg,ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Produção de sementes e mudas
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11402%5D%7B447%7Dfogo_caput.jpg,ARROZ IRRIGADO - 03. Aspectos legais para o cultivo do arroz irrigado - Uso do fogo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11443%5D%7B294%7D04_selsistema_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Escolha do sistema de cultivo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11443%5D%7B349%7D04.sistemascult_01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Escolha do sistema de cultivo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11444%5D%7B133%7D04_pregerm_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B342%7D04_pregerm_fig01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B290%7D04_pregerm_fig02.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B202%7D04_prepsolo_fig01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B19%7D04_prepsolo_fig02.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B511%7D04_prepsolo_fig03.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B56%7D04_prepsolo_fig04.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B431%7D04_prepsolo_fig05.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B328%7D04_prepsolo_fig06.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11444%5D%7B70%7D04_prepsolo_fig07.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Pré-germinado
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11445%5D%7B406%7D04_soloseco_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Características dos sistemas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11445%5D%7B251%7D04_soloseco_fig01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Características dos sistemas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11445%5D%7B57%7D04_soloseco_fig02.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Características dos sistemas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11445%5D%7B9%7D04_soloseco_fig03.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Características dos sistemas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11445%5D%7B80%7D04_soloseco_fig04.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Características dos sistemas
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11446%5D%7B89%7D04_convenc_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Sistema convencional
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11447%5D%7B531%7D04_cultmin_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Semeadura em solo seco - Sistema de cultivo mínimo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11448%5D%7B292%7D04_transpl_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Transplante de mudas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11448%5D%7B191%7D04_transpl_fig01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Transplante de mudas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11448%5D%7B517%7D04_transpl_fig02.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Transplante de mudas
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11449%5D%7B103%7D04_organico_caput.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Orgânico
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11449%5D%7B216%7D04_marrecos_fig01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Orgânico
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11449%5D%7B355%7D04_marrecos_fig02.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Orgânico
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11449%5D%7B314%7D04_marrecos_fig03.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Orgânico
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11449%5D%7B17%7D04_gaiolatelada_fig01.jpg,ARROZ IRRIGADO - 04. Sistemas de cultivo - Orgânico
