link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B12985%5D%7B44%7Drecomendacao_cultivares.png,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B7%7Dta1.gif,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B441%7Dta2.png,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B246%7Dta3.png,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B341%7Dta4.png,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B86%7Dta5.png,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B335%7Dta6.png,BANANA - Avaliação de cultivares para o Estado de Santa Catarina
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18355%5D%7B95%7Dbranca.png,BANANA - Cultivares - Branca
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18368%5D%7B76%7Dcap_3_-_fig_5_-_letra_h_-_buque_maduro_fhia01_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - BRS Fhia Maravilha
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18362%5D%7B265%7Dcap_3_-_fig_5_-_letra_f_-_buque_maduro_platina_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - BRS Platina
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18366%5D%7B314%7Dprincesa.jfif,BANANA - Cultivares - BRS Princesa
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18364%5D%7B335%7Dbelluna.jpg,BANANA - Cultivares - BRS SCS Belluna
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18364%5D%7B204%7Dcap_3_-_fig_4_-_letra_d_-_belluna_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - BRS SCS Belluna
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18364%5D%7B7%7Dimg_3659.jpg,BANANA - Cultivares - BRS SCS Belluna
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18369%5D%7B40%7Dcap_3_-_fig_4_-_letra_g_-_buque_maduro_thap_maeo_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - BRS Thap Maeo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18369%5D%7B486%7Dcap_3_-_fig_4_-_letra_c_-_thap_maeo_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - BRS Thap Maeo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18367%5D%7B396%7Dcap_3_-_fig_5_-_letra_j_-_buque_maduro_brs_tropical_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - BRS Tropical
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18359%5D%7B42%7Dcap_3_-_fig_3_-_letra_e_-_buque_maduro_figo_cinza_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - Figo cinza
