link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8559%5D%7B91%7Dfigura_12a.jpg,MANGARITO - Histórico
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8795%5D%7B528%7Dfigura_2a.jpg,MANGARITO - Botânica
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8795%5D%7B288%7Dfigura_2a.jpg,MANGARITO - Botânica
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8795%5D%7B362%7Dfigura_2c.jpg,MANGARITO - Botânica
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8477%5D%7B49%7D5.jpg,MANGARITO - Variedades
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8477%5D%7B71%7D20190208_085828.jpg,MANGARITO - Variedades
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8477%5D%7B137%7Dmangarito16.jpg,MANGARITO - Variedades
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8477%5D%7B437%7Dmangarito_recem_emergido.jpg,MANGARITO - Variedades
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8477%5D%7B248%7Ddsc09392_%282%29.jpg,MANGARITO - Variedades
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8477%5D%7B60%7Dfigura_5.jpg,MANGARITO - Variedades
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8477%5D%7B299%7D5.jpg,MANGARITO - Variedades
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8918%5D%7B519%7Dfigura_10b.jpg,MANGARITO - Calagem e Adubação
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8387%5D%7B255%7D%5B8387%5D%7B312%7Dmangarito_roxo_plantado_em_coivara.jpg,MANGARITO - Tratos Culturais - a) Escolha da área
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8387%5D%7B534%7Dfigura_7.jpg,MANGARITO - Tratos Culturais - a) Escolha da área
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8387%5D%7B270%7Dfigura_8.jpg,MANGARITO - Tratos Culturais - a) Escolha da área
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8400%5D%7B458%7Dfigura_9a.jpg,MANGARITO - Tratos Culturais - b) Preparo do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8400%5D%7B490%7Darea_de_coivara.jpg,MANGARITO - Tratos Culturais - b) Preparo do solo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8402%5D%7B277%7D2.jpg,MANGARITO - Tratos Culturais - c) Preparo do material para plantio
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8402%5D%7B292%7Dmangarito110.jpg,MANGARITO - Tratos Culturais - c) Preparo do material para plantio
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8402%5D%7B501%7Dmangarito_colhido_com_tuberos_primarios.jpg,MANGARITO - Tratos Culturais - c) Preparo do material para plantio
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8465%5D%7B87%7D4.jpg,MANGARITO - Tratos Culturais - d) Plantio
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8465%5D%7B82%7Dmangarito_branco_em_estagio_inicial_de_plantio.jpg,MANGARITO - Tratos Culturais - d) Plantio
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8465%5D%7B227%7Dmangarito17.jpg,MANGARITO - Tratos Culturais - d) Plantio
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8554%5D%7B484%7D34653365.jpg,MANGARITO - Tratos Culturais - e) Controle de Plantas Daninhas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8554%5D%7B9%7Dimg-20200616-wa0024_%281%29.jpg,MANGARITO - Tratos Culturais - e) Controle de Plantas Daninhas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8554%5D%7B120%7Daspecto_de_ervasinvasoras.jpg,MANGARITO - Tratos Culturais - e) Controle de Plantas Daninhas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8554%5D%7B58%7Dmangarito_branco_conduzido_apenas_com_rocada%2C_adubacao_organica_e_fosfato_natural.jpg,MANGARITO - Tratos Culturais - e) Controle de Plantas Daninhas
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8916%5D%7B540%7Dfacebook_1592329715885_6678714896658606844.jpg,MANGARITO - Tratos Culturais - f) Colheita e Pós-colheita
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8916%5D%7B373%7Dfacebook_1592329738561_6678714991768197966.jpg,MANGARITO - Tratos Culturais - f) Colheita e Pós-colheita
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B8914%5D%7B15%7Derwinia_angarito.jpeg,MANGARITO - Fitossanidade (Erwinia)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B8914%5D%7B72%7Derwinia_angarito.jpeg,MANGARITO - Fitossanidade (Erwinia)
