link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B12975%5D%7B131%7Dalmeirao-roxo.jpg,PANCS - Almeirão-Roxo (Lactuca canadensis)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12975%5D%7B255%7Dalmeirao-roxo-salada.jpg,PANCS - Almeirão-Roxo (Lactuca canadensis)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B12977%5D%7B512%7Daroeira.jpg,PANCS - Aroeira (Schinus terebinthifolius)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12977%5D%7B265%7Dfile_de_peixe_com_aroeira.jpg,PANCS - Aroeira (Schinus terebinthifolius)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B12983%5D%7B217%7Dazedinha.jpg,PANCS - Azedinha (Rumex acetosa)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12983%5D%7B138%7Dsuco_verde_de_azedinha.jpg,PANCS - Azedinha (Rumex acetosa)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13002%5D%7B265%7Dbeldroega.jpg,PANCS - Beldroega (Portulaca oleracea)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13002%5D%7B113%7Dpizza_de_11h.jpg,PANCS - Beldroega (Portulaca oleracea)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13009%5D%7B305%7Dbertalha.jpg,PANCS - Bertalha (Basella Alba; B. rubra)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13009%5D%7B194%7Dbolo_doce_com_bertalha.jpg,PANCS - Bertalha (Basella Alba; B. rubra)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13016%5D%7B166%7Dcapuchinha.jpg,PANCS - Capuchinha (Tropaeolum majus)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13016%5D%7B2%7Dpesto_de_capuchinha.jpg,PANCS - Capuchinha (Tropaeolum majus)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13022%5D%7B254%7Derva-baleeira.jpg,PANCS - Erva-Baleeira (Varronia curassavica)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13022%5D%7B154%7Dcaldo_de_legumes_com_folhas_de_erva-baleeira.jpg,PANCS - Erva-Baleeira (Varronia curassavica)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13028%5D%7B349%7Dmalvavisco.jpg,PANCS - Malvavisco (Malvaviscus arboreus)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13028%5D%7B424%7Dgeleia_de_malvavisco.jpg,PANCS - Malvavisco (Malvaviscus arboreus)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13031%5D%7B23%7Dmoringa.jpg,PANCS - Moringa (Moringa oleifera)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13031%5D%7B56%7Dquirera_de_milho_com_moringa.jpg,PANCS - Moringa (Moringa oleifera)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13032%5D%7B14%7Dora-pro-nobis.jpg,PANCS - Ora-pro-nóbis (Pereskia aculeata)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13032%5D%7B368%7Dhamburguer_de_ora-pro-nobis.jpg,PANCS - Ora-pro-nóbis (Pereskia aculeata)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13043%5D%7B526%7Dpicao.jpg,PANCS - Picão preto (Bidens pilosa)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13043%5D%7B250%7Dsopa_de_picao.jpg,PANCS - Picão preto (Bidens pilosa)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13049%5D%7B471%7Dtaioba_2.jpg,PANCS - Taioba (Xanthosama taioba)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13049%5D%7B531%7Dtaioba.jpg,PANCS - Taioba (Xanthosama taioba)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13049%5D%7B307%7Dinhame.jpg,PANCS - Taioba (Xanthosama taioba)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13049%5D%7B490%7Dcharuto_de_taioba.jpg,PANCS - Taioba (Xanthosama taioba)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B13055%5D%7B256%7Dtansagem.jpg,PANCS - Tansagem (Plantago spp.)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B13055%5D%7B263%7Dmolho_de_tansagem_com_castanha.jpg,PANCS - Tansagem (Plantago spp.)
