link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17899%5D%7B66%7D2018-01-24_%2825%29.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Monitoramento e manejo de qualidade de água
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17899%5D%7B283%7Drecomendacoes.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Monitoramento e manejo de qualidade de água
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17899%5D%7B466%7Dmonitoramento.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Monitoramento e manejo de qualidade de água
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17899%5D%7B392%7Dequipamentos.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Monitoramento e manejo de qualidade de água
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17900%5D%7B264%7Daeradores_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de aeradores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17900%5D%7B518%7Daeradores_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de aeradores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17900%5D%7B266%7Daeradores_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de aeradores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17900%5D%7B202%7Dresultado_aerador.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de aeradores
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17902%5D%7B128%7D2017-01-27_%28011%29_biometria.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Biometrias e acompanhamento da produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B225%7Dbiometria_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Biometrias e acompanhamento da produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B253%7Dbiometria_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Biometrias e acompanhamento da produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B117%7Dbiometria_3.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Biometrias e acompanhamento da produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B298%7Dtabela_biometria.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Biometrias e acompanhamento da produção
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17903%5D%7B294%7Dalimentador_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de alimentadores automáticos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17903%5D%7B53%7Dalimentador_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de alimentadores automáticos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17903%5D%7B474%7Dalimentador_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Uso de alimentadores automáticos
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17904%5D%7B130%7Darmazenamento.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Cuidados na compra de ração
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17904%5D%7B221%7Darmazenamento.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Cuidados na compra de ração
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17905%5D%7B316%7Dflorescimento_de_cianobacteria.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Florações de algas e macrófitas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B493%7Dfotos_ninphea.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Florações de algas e macrófitas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B190%7Dflorescimento_de_aguape.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Florações de algas e macrófitas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B475%7Dflorescimento_de_lemna.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Florações de algas e macrófitas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B288%7Dflorescimento_de_microalga_euglena_sanguinea.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Florações de algas e macrófitas
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B319%7Dflorescimento_de_cianobacteria.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Florações de algas e macrófitas
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17906%5D%7B84%7Dsoco.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B329%7Daves_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B227%7Daves_3.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B345%7Daves_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B516%7Dpredadores_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B241%7Dpredadores_3.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B462%7Dpredadores_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B472%7Dlambari.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B443%7Dtuvira.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Prevenção contra predadores
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17907%5D%7B230%7Ddespesca_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Manejo de despesca e transferência
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17907%5D%7B238%7Ddespesca_2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Manejo de despesca e transferência
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17907%5D%7B205%7Ddespesca_1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Boas práticas de manejo - Manejo de despesca e transferência
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B9474%5D%7B504%7Dpreparacao.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Manejo do solo após despesca
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B16%7Dpreparacao.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Manejo do solo após despesca
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B215%7Dpreparacao_do_solo.png,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Manejo do solo após despesca
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B33%7Dgirino_de_ra.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Manejo do solo após despesca
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B171%7Dodonata_e_barata_d_agua.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Manejo do solo após despesca
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B17908%5D%7B180%7Daplicacao_cal_virgem.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Desinfecção do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17908%5D%7B443%7Daplicacao_cal_virgem.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Desinfecção do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17908%5D%7B415%7Daplicacao_hipoclorito.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Desinfecção do solo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B9162%5D%7B428%7Dcalagem.png,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Calagem do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B431%7Dcoleta_de_solo.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Calagem do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B43%7Dcalcario_f1.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Calagem do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B330%7Dcalcario_f2.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Calagem do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B334%7Denxada_rotativa.jpg,PISCICULTURA EM VIVEIROS ESCAVADOS - Preparação do viveiro - Calagem do solo
