link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11158%5D%7B524%7Damendoim_de_jardim%2C_chapeco%2C_leandro_wildner%2C_2015_-_copia.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B238%7Damendoim_de_jardim%2C_chapeco%2C_leandro_wildner%2C_2015.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B201%7Damendoim_de_jardim%2C_chapeco%2C_sc%2C_leandro_wildner%2C_2015.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B292%7Damendoim_forrageroxcitros%2C_itaipu_rural_show_2007_acervo_leandro_wilder.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B500%7Damendom_forrageiro_pomar_kiwi_epagri_em_pinhalzinho_2019.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B62%7Ddetalhe_floracao_amendoim_for._epagri-cepaf._cda_2006.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B238%7Dfloracao_amendoim_for._epagri-cepaf._itaipu_rural_show_2007.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B42%7Dfloracao_amendoim_forrageiro._epagri-cepaf._cda_2006_2.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11158%5D%7B8%7Damendoim_forrageiro_foto_edson_almeida_eeituporanga.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Amendoim Forrageiro (Arachis pintoi)
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B11160%5D%7B18%7Dimg-20210321-wa0092.jpg,PLANTAS PARA ADUBAÇÃO VERDE - Aveia branca (Avena sativa)
