link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18329%5D%7B380%7Dfigura_1._o_controle_integrado_de_doencas.jpg,TERMOTERAPIA PARA SUBSTRATOS - Introdução
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18329%5D%7B18%7Dfigura_1._o_controle_integrado_de_doencas.jpg,TERMOTERAPIA PARA SUBSTRATOS - Introdução
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18330%5D%7B523%7Dfigura_14._fechamento_superior_do_desinfestador.jpg,TERMOTERAPIA PARA SUBSTRATOS - Como funciona a termoterapia
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18330%5D%7B265%7Dtabela_1.jpg,TERMOTERAPIA PARA SUBSTRATOS - Como funciona a termoterapia
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18332%5D%7B295%7Dfigura_3._unidade_geradora_de_vapor_d_agua.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B473%7Dfigura_3._unidade_geradora_de_vapor_d_agua.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B216%7Dfigura_2._dimensoes_do_desinfestador.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B446%7Dfigura_3._unidade_geradora_de_vapor_d_agua.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B547%7Dfigura_4._portinhola_na_extremidade_oposta_do_desinfestador.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B40%7Dfigura_5._ligacao_eletrica_e_de_agua_do_vaporizador.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B54%7Dfigura_6._canos_distribuidores_de_vapor_no_interior_da_baia.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B10%7Dfigura_7._canos_distribuidores_de_vapor_ligados_a_unidade_geradora_de_vapor_d_agua.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B141%7Dfigura_8._estrutura_dos_canos_e_conexoes_metalicas_para_distribuicao_do_vapor_d_agua.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B62%7Dfigura_10._conexoes_do_sistema_de_distribuicao_de_vapor_que_fazem_ligadas_ao_final_do_sistema.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B539%7Dfigura_9._conexoes_do_sistema_de_distribuicao_de_vapor_ligadas_ao_vaporizador.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B28%7Dfigura_11._painel_eletrico.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B258%7Dfigura_12._controlador_eletronico_e_termopar.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B459%7Dfigura_13._ponto_de_coleta_da_temperatura.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B419%7Dfigura_14._fechamento_superior_do_desinfestador.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18332%5D%7B121%7Dfigura_15._fechamento_superior_do_desinfestador.jpg,TERMOTERAPIA PARA SUBSTRATOS - O Desinfestador de substratos – Modelo Epagri
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18333%5D%7B169%7Dtabela_2.jpg,TERMOTERAPIA PARA SUBSTRATOS - Investimento necessário
